# util_output: detail

# resource	operation	var	loadBucket	startBucket	bktLength	rate	load
1379_G55-x-1379_G55	94420000_1379_M-at-1379-189344	OP505935T003	2017-06-01	2017-06-01	 15	 7.49999952	 307.49996948
1379_G55-x-1379_G55	94420000_1379_M-at-1379-189344	OP505935T004	2017-06-16	2017-06-16	 15	 7.49999952	 284.99996948
1379_G55-x-1379_G55	94420000_1379_M-at-1379-189344	OP505935T005	2017-07-01	2017-07-01	 15	 7.49999952	 262.49996948
1379_G55-x-1379_G55	94420000_1379_M-at-1379-189344	OP505935T006	2017-07-16	2017-07-16	 16	 7.49999952	 329.99996948
1379_G55-x-1379_G55	94420000_1379_M-at-1379-189344	OP505935T007	2017-08-01	2017-08-01	 15	 7.49999952	 254.99998474
1379_G55-x-1379_G55	94420000_1379_M-at-1379-189344	OP505935T008	2017-08-16	2017-08-16	 16	 7.49999952	 329.99996948

1379_CAP-x-1379_CAP	94420000_1379_M-at-1379-189344	OP505935T003	2017-06-01	2017-06-01	 15	 5000	 205000
1379_CAP-x-1379_CAP	94420000_1379_M-at-1379-189344	OP505935T004	2017-06-16	2017-06-16	 15	 5000	 190000
1379_CAP-x-1379_CAP	94420000_1379_M-at-1379-189344	OP505935T005	2017-07-01	2017-07-01	 15	 5000	 175000
1379_CAP-x-1379_CAP	94420000_1379_M-at-1379-189344	OP505935T006	2017-07-16	2017-07-16	 16	 5000	 220000
1379_CAP-x-1379_CAP	94420000_1379_M-at-1379-189344	OP505935T007	2017-08-01	2017-08-01	 15	 5000	 170000
1379_CAP-x-1379_CAP	94420000_1379_M-at-1379-189344	OP505935T008	2017-08-16	2017-08-16	 16	 5000	 220000

1363_G79-x-1363_G79	00790908_1363_M-at-1363-187947	OP354697T001	2017-05-01	2017-05-01	 15	 0.30000001	 174.30000305
1363_G79-x-1363_G79	00790908_1363_M-at-1363-187947	OP354697T002	2017-05-16	2017-05-16	 16	 0.30000001	 336
1363_G79-x-1363_G79	54400908_1363_M-at-1363-187951	OP417175T003	2017-06-01	2017-06-01	 15	 0.30000001	 75
1363_G79-x-1363_G79	54400908_1363_M-at-1363-187951	OP417175T004	2017-06-16	2017-06-16	 15	 0.30000001	 75
1363_G79-x-1363_G79	54400908_1363_M-at-1363-187951	OP417175T005	2017-07-01	2017-07-01	 15	 0.30000001	 112.5
1363_G79-x-1363_G79	54400908_1363_M-at-1363-187951	OP417175T006	2017-07-16	2017-07-16	 16	 0.30000001	 112.5
1363_G79-x-1363_G79	54400908_1363_M-at-1363-187951	OP417175T007	2017-08-01	2017-08-01	 15	 0.30000001	 108
